Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","100n","C_0603_1608Metric",156.325000,-61.700000,0.000000,top
"C2","100n","C_0603_1608Metric",155.900000,-48.500000,90.000000,top
"C3","100n","C_0603_1608Metric",147.200000,-56.000000,180.000000,top
"C4","20p","C_0603_1608Metric",147.200000,-53.600000,180.000000,top
"C5","20p","C_0603_1608Metric",153.400000,-48.500000,90.000000,top
"C6","100n","C_0603_1608Metric",154.325000,-44.800000,0.000000,top
"J2","USB_OTG","USB_Micro-B_Wuerth_629105150521",148.300000,-40.400000,180.000000,top
"J3","USB_OTG","USB_Micro-B_Wuerth_629105150521",159.500000,-40.400000,180.000000,top
"R1","15k","R_0603_1608Metric",147.125000,-60.000000,0.000000,top
"R2","33R","R_0603_1608Metric",160.300000,-48.500000,270.000000,top
"R3","33R","R_0603_1608Metric",158.500000,-48.500000,270.000000,top
"U1","MAX3421E","LQFP-32_5x5mm_P0.5mm",155.400000,-55.600000,90.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",148.600000,-49.750000,0.000000,top
